symbol,isin,company_name,category,label_source,reasoning
GMMPFAUDLR,INE541A01023,GMM PFAUDLER LTD,Owner,rev1_ai_judge,
GMRAIRPORT,INE776C01039,GMR AIRPORTS LTD,Owner,rev1_ai_judge,
GMRP&UI,INE0CU601026,GMR Power and Urban Infra Limited,Owner,machine_inferred,
GOCOLORS,INE0BJS01011,GO FASHION INDIA LTD,Owner,rev1_ai_judge,
GODFRYPHLP,INE260B01028,GODFREY PHILLIPS INDIA LTD,Owner,rev1_ai_judge,
GODIGIT,INE03JT01014,Go Digit General Insurance Limited,Owner,machine_inferred,
GODREJAGRO,INE850D01014,Godrej Agrovet Limited,Owner,machine_inferred,
GODREJCP,INE102D01028,GODREJ CONSUMER PRODUCTS LTD,Owner,rev1_ai_judge,
GODREJIND,INE233A01035,GODREJ INDUSTRIES LTD,Owner,rev1_ai_judge,
GODREJPROP,INE484J01027,GODREJ PROPERTIES LTD,Owner,rev1_ai_judge,
GOKEX,INE887G01027,GOKALDAS EXPORTS LTD,Professional,rev1_ai_judge,
GOKULAGRO,INE314T01033,Gokul Agro Resources Limited,Owner,machine_inferred,
GPIL,INE177H01039,GODAWARI POWER AND ISPAT LTD,Owner,rev1_ai_judge,
GRANULES,INE101D01020,GRANULES INDIA LTD,Owner,rev1_ai_judge,
GRAPHITE,INE371A01025,GRAPHITE INDIA LTD,Owner,rev1_ai_judge,
GRAVITA,INE024L01027,GRAVITA INDIA LTD,Owner,rev1_ai_judge,
GRINFRA,INE201P01022,G R INFRAPROJECTS LTD,Owner,rev1_ai_judge,
GROWW,INE0HOQ01053,Billionbrains Garage Ventures Limited,Owner,machine_inferred,
GRWRHITECH,INE291A01017,Garware Hi-Tech Films Limited,Owner,machine_inferred,
HAPPSTMNDS,INE419U01012,HAPPIEST MINDS TECHNOLOGIES,Owner,rev1_ai_judge,
HARSHA,INE0JUS01029,HARSHA ENGINEERS INTERNATION,Owner,rev1_ai_judge,
HATSUN,INE473B01035,HATSUN AGRO PRODUCT LTD,Owner,rev1_ai_judge,
HBLENGINE,INE292B01021,HBL ENGINEERING LTD,Owner,rev1_ai_judge,
HCC,INE549A01026,HINDUSTAN CONSTRUCTION CO,Owner,rev1_ai_judge,
HCLTECH,INE860A01027,HCL TECHNOLOGIES LTD,Owner,rev1_ai_judge,
HEG,INE545A01024,HEG LTD,Owner,rev1_ai_judge,
HERITGFOOD,INE978A01027,Heritage Foods Limited,Owner,machine_inferred,
HEROMOTOCO,INE158A01026,HERO MOTOCORP LTD,Owner,rev1_ai_judge,
HFCL,INE548A01028,HFCL LTD,Owner,rev1_ai_judge,
HGINFRA,INE926X01010,H.G. Infra Engineering Limited,Owner,machine_inferred,
HLEGLAS,INE461D01028,HLE GLASCOAT LTD,Owner,rev1_ai_judge,
HMAAGRO,INE0ECP01024,HMA AGRO INDUSTRIES LTD,Owner,rev1_ai_judge,
HONASA,INE0J5401028,Honasa Consumer Limited,Owner,machine_inferred,
HSCL,INE019C01026,HIMADRI SPECIALITY CHEMICAL,Owner,rev1_ai_judge,
ICIL,INE483B01026,Indo Count Industries Limited,Owner,machine_inferred,
IDEAFORGE,INE349Y01013,IDEAFORGE TECHNOLOGY LTD,Owner,rev1_ai_judge,
IFBIND,INE559A01017,IFB Industries Limited,Owner,machine_inferred,
IIFL,INE530B01024,IIFL FINANCE LTD,Owner,rev1_ai_judge,
IIFLCAPS,INE489L01022,IIFL Capital Services Limited,Owner,machine_inferred,
IKS,INE115Q01022,Inventurus Knowledge Solutions Limited,Owner,ai_judge_z5,創業者 Sachin Gupta が 33.57% を保有し Global CEO として現役経営。Jhunjhunwala family（Rekha + 3 discretionary trusts で 49%超）と合わせ promoter 63.7%。創業者経営かつ家族系長期保有者の典型的 owner-led。
IMFA,INE919H01018,Indian Metals & Ferro Alloys Limited,Owner,ai_judge_z5,Panda ファミリー支配。Subhrakant Panda が MD&CEO（54% 保有の最大株主）、Baijayant Panda が Executive Vice Chairman。家族が経営と所有を一体的に保持する典型的 owner-led。
INDIAGLYCO,INE560A01023,India Glycols Limited,Owner,machine_inferred,
INDIAMART,INE933S01016,INDIAMART INTERMESH LTD,Owner,rev1_ai_judge,
INDIASHLTR,INE922K01024,India Shelter Finance Corporation Limited,Professional,ai_judge_z5,Promoter の実質支配株主は WestBridge Crossover Fund (24%) と Aravali Investments Holdings (Nexus Ventures系、31.4%) の PE/VC 二社（foreign promoter 46.15%）。創業者 Anil Mehta は 1.45% のみで Chairman。CEO は雇用プロフェッショナル Rupinder Singh。Mehta 家族は NSE 上は promoter group だが実質支配せず、PE-backed + professional CEO の典型。
INDIGO,INE646L01027,INTERGLOBE AVIATION LTD,Owner,rev1_ai_judge,
INDIGOPNTS,INE09VQ01012,INDIGO PAINTS LTD,Owner,rev1_ai_judge,
INFY,INE009A01021,INFOSYS LTD,Professional,rev1_ai_judge,
INOXGREEN,INE510W01014,Inox Green Energy Services Limited,Owner,machine_inferred,
INOXINDIA,INE616N01034,INOX India Limited,Owner,machine_inferred,
INOXWIND,INE066P01011,Inox Wind Limited,Owner,ai_judge_z5,Jain ファミリー (InoxGFL Group) 支配。Vivek Jain が Group Chairman、息子 Devansh Jain が Inox Wind の Executive Director として直接経営。第3世代の owner-led 経営、Forbes billionaire 家系。
INTELLECT,INE306R01017,INTELLECT DESIGN ARENA LTD,Owner,rev1_ai_judge,
IOLCP,INE485C01029,IOL CHEMICALS AND PHARMA LTD,Owner,rev1_ai_judge,
IONEXCHANG,INE570A01022,ION EXCHANGE (INDIA) LTD,Owner,rev1_ai_judge,
IPCALAB,INE571A01038,IPCA LABORATORIES LTD,Owner,rev1_ai_judge,
IPL,INE0D6701023,INDIA PESTICIDES LTD,Owner,rev1_ai_judge,
IRB,INE821I01022,IRB INFRASTRUCTURE DEVELOPER,Owner,rev1_ai_judge,
JAIBALAJI,INE091G01026,JAI BALAJI INDUSTRIES LTD,Owner,rev1_ai_judge,
JAICORPLTD,INE070D01027,JAI CORP LTD,Owner,rev1_ai_judge,
JAINREC,INE0YD401026,Jain Resource Recycling Limited,Owner,machine_inferred,
JAMNAAUTO,INE039C01032,JAMNA AUTO INDUSTRIES LTD,Owner,rev1_ai_judge,
JAYNECOIND,INE854B01010,Jayaswal Neco Industries Limited,Owner,ai_judge_z5,Shaw/Jayaswal ファミリー支配。創業者 Basant Lall Shaw が2023年に Chairman Emeritus に退任し、息子 Arvind Jayaswal と Ramesh Jayaswal (MD) が次世代として経営継承。50年超の家族経営の世代交代中だが家族支配は継続。
JBMA,INE927D01051,JBM AUTO LTD,Owner,rev1_ai_judge,
JISLJALEQS,INE175A01038,JAIN IRRIGATION SYSTEMS LTD,Owner,rev1_ai_judge,
JKCEMENT,INE823G01014,JK CEMENT LTD,Owner,rev1_ai_judge,
JKLAKSHMI,INE786A01032,JK LAKSHMI CEMENT LTD,Owner,rev1_ai_judge,
JKPAPER,INE789E01012,JK PAPER LTD,Owner,rev1_ai_judge,
JKTYRE,INE573A01042,JK TYRE & INDUSTRIES LTD,Owner,rev1_ai_judge,
JLHL,INE682M01012,Jupiter Life Line Hospitals Limited,Owner,machine_inferred,
JMFINANCIL,INE780C01023,JM FINANCIAL LTD,Owner,rev1_ai_judge,
JSLL,INE0J5801029,Jeena Sikho Lifecare Limited,Owner,machine_inferred,
JTLIND,INE391J01032,JTL INDUSTRIES LTD,Owner,rev1_ai_judge,
JUBLFOOD,INE797F01020,JUBILANT FOODWORKS LTD,Owner,rev1_ai_judge,
JUBLINGREA,INE0BY001018,JUBILANT INGREVIA LTD,Owner,rev1_ai_judge,
JUBLPHARMA,INE700A01033,Jubilant Pharmova Limited,Owner,ai_judge_z5,Bhartia ファミリー支配。Shyam S. Bhartia が Chairman、Hari S. Bhartia が Co-Chairman で、次世代の Priyavrat & Shamit Bhartia もグループ経営に関与。Jubilant Bhartia Group の core family conglomerate。
JUSTDIAL,INE599M01018,JUST DIAL LTD,Owner,rev1_ai_judge,
JWL,INE209L01016,JUPITER WAGONS LTD,Owner,rev1_ai_judge,
JYOTHYLAB,INE668F01031,JYOTHY LABS LTD,Owner,rev1_ai_judge,
JYOTICNC,INE980O01024,Jyoti CNC Automation Limited,Owner,machine_inferred,
KAJARIACER,INE217B01036,KAJARIA CERAMICS LTD,Owner,rev1_ai_judge,
KALYANKJIL,INE303R01014,KALYAN JEWELLERS INDIA LTD,Owner,rev1_ai_judge,
KARURVYSYA,INE036D01028,KARUR VYSYA BANK LTD,Professional,rev1_ai_judge,
KAYNES,INE918Z01012,KAYNES TECHNOLOGY INDIA LTD,Owner,rev1_ai_judge,
KEC,INE389H01022,KEC INTERNATIONAL LTD,Owner,rev1_ai_judge,
KEI,INE878B01027,KEI INDUSTRIES LTD,Owner,rev1_ai_judge,
KIMS,INE967H01025,KRISHNA INSTITUTE OF MEDICAL,Owner,rev1_ai_judge,
KIRLOSBROS,INE732A01036,Kirloskar Brothers Limited,Owner,machine_inferred,
KIRLOSENG,INE146L01010,KIRLOSKAR OIL ENGINES LTD,Owner,rev1_ai_judge,
KIRLPNU,INE811A01020,Kirloskar Pneumatic Company Limited,Owner,machine_inferred,
KITEX,INE602G01020,Kitex Garments Limited,Owner,machine_inferred,
KNRCON,INE634I01029,KNR CONSTRUCTIONS LTD,Owner,rev1_ai_judge,
KOLTEPATIL,INE094I01018,KOLTE-PATIL DEVELOPERS LTD,Owner,rev1_ai_judge,
KOTAKBANK,INE237A01036,KOTAK MAHINDRA BANK LTD,Owner,rev1_ai_judge,
KPIGREEN,INE542W01025,KPI Green Energy Limited,Owner,machine_inferred,
KPIL,INE220B01022,KALPATARU PROJECTS INTERNATI,Owner,rev1_ai_judge,
KPITTECH,INE04I401011,KPIT TECHNOLOGIES LTD,Owner,rev1_ai_judge,
KPRMILL,INE930H01031,KPR MILL LTD,Owner,rev1_ai_judge,
KRBL,INE001B01026,KRBL LTD,Owner,rev1_ai_judge,
KRN,INE0Q3J01015,KRN Heat Exchanger and Refrigeration Limited,Owner,machine_inferred,
KRSNAA,INE08LI01020,KRSNAA DIAGNOSTICS LTD,Owner,rev1_ai_judge,
KSB,INE999A01023,KSB LTD,MNC,rev1_ai_judge,
KSCL,INE455I01029,KAVERI SEED CO LTD,Owner,rev1_ai_judge,
LALPATHLAB,INE600L01024,DR LAL PATHLABS LTD,Owner,rev1_ai_judge,
LANDMARK,INE559R01029,LANDMARK CARS LTD,Owner,rev1_ai_judge,
LATENTVIEW,INE0I7C01011,LATENT VIEW ANALYTICS LTD,Owner,rev1_ai_judge,
LAURUSLABS,INE947Q01028,LAURUS LABS LTD,Owner,rev1_ai_judge,
LEMONTREE,INE970X01018,LEMON TREE HOTELS LTD,Owner,rev1_ai_judge,
LENSKART,INE956O01016,Lenskart Solutions Limited,Owner,machine_inferred,
LLOYDSENGG,INE093R01011,LLOYDS ENGINEERING WORKS LIMITED,Owner,machine_inferred,
LLOYDSENT,INE080I01025,Lloyds Enterprises Limited,Owner,machine_inferred,
LLOYDSME,INE281B01032,Lloyds Metals And Energy Limited,Owner,machine_inferred,
LOTUSDEV,INE0V9Q01010,Sri Lotus Developers and Realty Limited,Owner,machine_inferred,
LTFOODS,INE818H01020,LT FOODS LTD,Owner,rev1_ai_judge,
LUMAXTECH,INE872H01027,Lumax Auto Technologies Limited,Owner,machine_inferred,
LUPIN,INE326A01037,LUPIN LTD,Owner,rev1_ai_judge,
LUXIND,INE150G01020,LUX INDUSTRIES LTD,Owner,rev1_ai_judge,
